Prompt,Antagonist,Protagonist,Innocent,Foreign Adversary,Virtuous,Incompetent,Martyr,Deceiver,Saboteur,Instigator,Underdog,Victim,Peacemaker,Rebel,Guardian,Tyrant,Bigot,Terrorist,Exploited,Forgotten,Conspirator,Corrupt,Spy,Traitor,Scapegoat
"provided context: nited states since beginning fiscal year october. rate continues, year’s total easily top 24,125 chinese nationals illegally entered country last year. truth lives https://sgtreport.tv/ astounding 6,300% increase number chinesee nationals illegally entering country last years. since china communist nation, individuals freely traveling united states “better life.” u.s. senator roger marshall (r-ks) believes influx due “the direction ccp (chinese communist part, decide label mentioned entity: chinese.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"provided context: country, shot completed trek across many states. addition, chinese investors buying american farmland nefarious reasons, confirmed china operated “police stations” united states monitor citizens country. chinaa constantly threatening taiwan neighbors building military forces. proxy state, north korea, started regularly testing long-range ballistic missiles concern neighboring countries. ukraine third year bitter war russia. last year, decide label mentioned entity: china.",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: united states report estimated total number injuries deaths war neared 500,000. end sight war peace talks planned united states congress verge allocating military aid ukraine. october 7, israel invaded hamass resulting death 1,200 innocent people. deadliest attack israel since founding 1948. hamas abducted 240 hostages 129 returned home. hostages either remain captivity already deceased. israel responded hamas invasion, decide label mentioned entity: hamas.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"provided context: n hostages. terror regimes never rewarded taking hostages, exactly happened biden administration’s unwise decision. world deals multiple international wars unprecedented chaos middle east, useful remember happening donald trumpp president. read @ thelibertydaily.com, decide label mentioned entity: donald trump.",0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"provided context: oaching,"" andrii yermak, serves chief staff office president ukraine, said monday. ""the next year decisive regard."" issued words appealing urgent aid washington address hawkish dc-based hudson institute think tank. yermakk sought assure audience zelensky ""a clear plan"" forward even western media large soured kiev's prospects success. much zelensky sending envoys damage control washington moment us administration's focus ukraine gaz, decide label mentioned entity: yermak.",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: appealing urgent aid washington address hawkish dc-based hudson institute think tank. yermak sought assure audience zelensky ""a clear plan"" forward even western media large soured kiev's prospects success. much zelenskyy sending envoys damage control washington moment us administration's focus ukraine gaza events instead. described advancing plans ""the development defense industry, deploying arms production. [that] later."" quickl, decide label mentioned entity: zelensky.",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: production. [that] later."" quickly pivoted immediate need ""weapons right now""--describing ""russia still air superiority. still capable producing missiles, evasion sanctions…and especially need air defense systems."" without doubt, zelensky adminn damage control eyebrow-raising comments issued economist early month ukraine's top commander, admitted breakthrough battlefield situation stalemate. new york times characterized remarks ""the first time top ukrain, decide label mentioned entity: zelensky admin.",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: eld situation stalemate. new york times characterized remarks ""the first time top ukrainian commander said fighting reached impasse."" zelensky appears dispatching envoys calm washington jitters ""bad news"" late ukraine. yermakk also sought assure hudson institute conference billions given ukraine ""charity"" instead ""investment"" america's ""global leadership."" emphasized zelensky's continued rejection ceasefire talks russia, unless purely kiev's terms. ""w, decide label mentioned entity: yermak.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"provided context: patching envoys calm washington jitters ""bad news"" late ukraine. yermak also sought assure hudson institute conference billions given ukraine ""charity"" instead ""investment"" america's ""global leadership."" emphasized zelensky'ss continued rejection ceasefire talks russia, unless purely kiev's terms. ""we seek peace, peace. case, ending war compromise nothing pausing it. ukraine repeat mistake minsk,"" yermak said. watch full hudson institu, decide label mentioned entity: zelensky's.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"provided context: e capital vicinity, according serhiy popko, head kyiv’s military administration. minor damage attack, said. small groups people huddled safety underground central kyiv metro station early hours, sleeping camping mats. moscoww pounding ukraine days attacks portrayed moscow revenge ukrainian attacks conducted russia’s presidential election. wreckage downed kh-55 cruise missile found kyiv park, officials said. “for third pre-dawn morning week, , decide label mentioned entity: moscow.",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: nato talks deploy nuclear weapons amid growing threat posed russia china - top ukrainian security chief warns putin could firebomb kyiv tactical nukes facing 'catastrophic defeat' natoo talks deploy nuclear weapons amid growing threat posed russia china - top ukrainian security chief warns putin could firebomb kyiv tactical nukes facing 'catastrophic defeat' nato might deploy nuclear weapons amid increasing threat posed russia ch, decide label mentioned entity: nato.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
